4960,0.00038106
4965,0.00083969
4970,0.0032243
4975,0.010129
4980,0.023518
4985,0.047464
4990,0.081109
4995,0.11425
5000,0.13671
5005,0.15735
5010,0.18972
5015,0.2293
5020,0.28127
5025,0.3451
5030,0.41717
5035,0.48035
5040,0.53627
5045,0.58776
5050,0.60831
5055,0.64362
5060,0.69864
5065,0.74071
5070,0.79428
5075,0.82972
5080,0.85483
5085,0.9073
5090,0.96159
5095,0.99603
5100,1.0086
5105,1.0261
5110,1.0601
5115,1.1624
5120,1.2503
5125,1.28
5130,1.3201
5135,1.328
5140,1.2905
5145,1.2695
5150,1.3172
5155,1.4534
5160,1.4819
5165,1.0743
5170,0.54208
5175,0.34
5180,0.32343
5185,0.35664
5190,0.41301
5195,0.47156
5200,0.49806
5205,0.47854
5210,0.48432
5215,0.53413
5220,0.59289
5225,0.64897
5230,0.71601
5235,0.74664
5240,0.7168
5245,0.68336
5250,0.69536
5255,0.75416
5260,0.78213
5265,0.75263
5270,0.75966
5275,0.82326
5280,0.89095
5285,0.96618
5290,1.038
5295,1.0748
5300,1.097
5305,1.0937
5310,1.0332
5315,1.0148
5320,1.0218
5325,1.0022
5330,0.99025
5335,1.0137
5340,1.0483
5345,1.1015
5350,1.169
5355,1.1605
5360,1.0616
5365,0.99571
5370,0.99788
5375,1.0576
5380,1.1212
5385,1.1339
5390,1.1247
5395,1.1319
5400,1.1688
5405,1.1443
5410,1.113
5415,1.1663
5420,1.2162
5425,1.2145
5430,1.2132
5435,1.2885
5440,1.3738
5445,1.208
5450,0.86092
5455,0.68072
5460,0.65256
5465,0.67567
5470,0.719
5475,0.76826
5480,0.82621
5485,0.88172
5490,0.89987
5495,0.85921
5500,0.7872
5505,0.77586
5510,0.80845
5515,0.85924
5520,0.91354
5525,0.92122
5530,0.92841
5535,0.9608
5540,1.008
5545,1.0323
5550,1.0263
5555,1.0193
5560,1.0103
5565,0.98542
5570,0.94175
5575,0.92345
5580,0.93471
5585,0.93425
5590,0.91583
5595,0.84585
5600,0.76828
5605,0.74282
5610,0.74044
5615,0.72675
5620,0.70527
5625,0.70459
5630,0.70931
5635,0.72164
5640,0.7364
5645,0.77286
5650,0.82979
5655,0.88893
5660,0.90514
5665,0.8695
5670,0.84232
5675,0.86537
5680,0.91492
5685,0.95542
5690,0.97978
5695,1.0091
5700,1.0487
5705,1.0967
5710,1.1317
5715,1.1087
5720,1.0877
5725,1.1063
5730,1.1367
5735,1.1443
5740,1.138
5745,1.1825
5750,1.2293
5755,1.2216
5760,1.1428
5765,1.0829
5770,1.0855
5775,1.1103
5780,1.1414
5785,1.1899
5790,1.2546
5795,1.3306
5800,1.3926
5805,1.4075
5810,1.3179
5815,1.185
5820,1.1329
5825,1.1453
5830,1.1933
5835,1.2066
5840,1.1449
5845,1.041
5850,0.86903
5855,0.76735
5860,0.77929
5865,0.78057
5870,0.75535
5875,0.69473
5880,0.71145
5885,0.6772
5890,0.63079
5895,0.62675
5900,0.60197
5905,0.60978
5910,0.61338
5915,0.64212
5920,0.67316
5925,0.68502
5930,0.70538
5935,0.73532
5940,0.79043
5945,0.82299
5950,0.82376
5955,0.80574
5960,0.78717
5965,0.823
5970,0.87067
5975,0.88452
5980,0.91926
5985,0.93807
5990,1.0481
5995,1.0767
6000,1.097
6005,1.0658
6010,1.0679
6015,1.1301
6020,1.1905
6025,1.1284
6030,1.1914
6035,1.2057
6040,1.2892
6045,1.3255
6050,1.3622
6055,1.3867
6060,1.4205
6065,1.3845
6070,1.4357
6075,1.4337
6080,1.4208
6085,1.3926
6090,1.4485
6095,1.4769
6100,1.5252
6105,1.5708
6110,1.5704
6115,1.5501
6120,1.6151
6125,1.69
6130,1.7474
6135,1.7343
6140,1.8205
6145,1.7717
6150,1.52
6155,1.2515
6160,0.98652
6165,0.81213
6170,0.82512
6175,0.83119
6180,0.80124
6185,0.77957
6190,0.72546
6195,0.73046
6200,0.79228
6205,0.82263
6210,0.88236
6215,0.84193
6220,0.80838
6225,0.7417
6230,0.72231
6235,0.77888
6240,0.84395
6245,0.84386
6250,0.90285
6255,0.92686
6260,0.99564
6265,1.059
6270,1.0741
6275,1.0656
6280,1.066
6285,1.135
6290,1.1902
6295,1.1694
6300,1.2077
6305,1.2814
6310,1.3564
6315,1.4191
6320,1.4234
6325,1.3754
6330,1.4072
6335,1.491
6340,1.5673
6345,1.5873
6350,1.5417
6355,1.4351
6360,1.3948
6365,1.4555
6370,1.599
6375,1.7116
6380,1.7379
6385,1.7442
6390,1.7803
6395,1.9024
6400,2.0443
6405,2.1671
6410,2.1971
6415,2.0636
6420,1.9121
6425,1.8912
6430,1.9679
6435,2.1009
6440,2.2404
6445,2.2878
6450,2.2544
6455,2.3185
6460,2.4306
6465,2.5723
6470,2.6438
6475,2.5423
6480,2.3324
6485,2.1864
6490,2.1867
6495,2.2273
6500,2.3201
6505,2.4359
6510,2.4826
6515,2.4747
6520,2.5195
6525,2.6298
6530,2.7217
6535,2.7893
6540,2.785
6545,2.6155
6550,2.411
6555,2.3605
6560,2.3151
6565,2.1641
6570,2.0969
6575,2.0997
6580,2.1146
6585,2.1792
6590,2.1823
6595,2.1051
6600,2.069
6605,2.0942
6610,2.1187
6615,2.0894
6620,2.0311
6625,1.991
6630,1.9721
6635,1.9254
6640,1.9042
6645,1.8657
6650,1.6815
6655,1.506
6660,1.5121
6665,1.6257
6670,1.6991
6675,1.6842
6680,1.5436
6685,1.3885
6690,1.4032
6695,1.4947
6700,1.5492
6705,1.6276
6710,1.6454
6715,1.425
6720,1.2517
